Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Zaid Abdul-Aziz,C,26,HOU,48,,900,149,375,.397,,,,149,375,.397,.397,119,162,.735,,,304,53,,,,108,417,abdulza01
2,Kareem Abdul-Jabbar*,C,25,MIL,76,,3254,982,1772,.554,,,,982,1772,.554,.554,328,460,.713,,,1224,379,,,,208,2292,abdulka01
3,Don Adams,SF,25,TOT,74,,1874,265,678,.391,,,,265,678,.391,.391,145,184,.788,,,441,117,,,,231,675,adamsdo01
3,Don Adams,SF,25,ATL,4,,76,8,38,.211,,,,8,38,.211,.211,7,8,.875,,,22,5,,,,11,23,adamsdo01
3,Don Adams,SF,25,DET,70,,1798,257,640,.402,,,,257,640,.402,.402,138,176,.784,,,419,112,,,,220,652,adamsdo01
4,Rick Adelman*,PG,26,POR,76,,1822,214,525,.408,,,,214,525,.408,.408,73,102,.716,,,157,294,,,,155,501,adelmri01
5,Lucius Allen,PG,25,MIL,80,,2693,547,1130,.484,,,,547,1130,.484,.484,143,200,.715,,,279,426,,,,188,1237,allenlu01
6,Tiny Archibald*,PG,24,KCO,80,,3681,1028,2106,.488,,,,1028,2106,.488,.488,663,783,.847,,,223,910,,,,207,2719,architi01
7,Dennis Awtrey,C,24,TOT,82,,1687,146,305,.479,,,,146,305,.479,.479,86,153,.562,,,447,224,,,,234,378,awtrede01
7,Dennis Awtrey,C,24,PHI,3,,37,3,7,.429,,,,3,7,.429,.429,1,4,.250,,,14,2,,,,8,7,awtrede01
7,Dennis Awtrey,C,24,CHI,79,,1650,143,298,.480,,,,143,298,.480,.480,85,149,.570,,,433,222,,,,226,371,awtrede01
8,Dick Barnett,SG,36,NYK,51,,514,88,226,.389,,,,88,226,.389,.389,16,30,.533,,,41,50,,,,52,192,barnedi01
9,Jim Barnett,PG,28,GSW,82,,2215,394,844,.467,,,,394,844,.467,.467,183,217,.843,,,255,301,,,,150,971,barneji02
10,Rick Barry*,SF,28,GSW,82,,3075,737,1630,.452,,,,737,1630,.452,.452,358,397,.902,,,728,399,,,,245,1832,barryri01
11,Butch Beard,PG,25,SEA,73,,1403,191,435,.439,,,,191,435,.439,.439,100,140,.714,,,174,247,,,,139,482,beardbu01
12,Walt Bellamy*,C,33,ATL,74,,2802,455,901,.505,,,,455,901,.505,.505,283,526,.538,,,964,179,,,,244,1193,bellawa01
13,Henry Bibby,PG,23,NYK,55,,475,78,205,.380,,,,78,205,.380,.380,73,86,.849,,,82,64,,,,67,229,bibbyhe01
14,Dave Bing*,PG,29,DET,82,,3361,692,1545,.448,,,,692,1545,.448,.448,456,560,.814,,,298,637,,,,229,1840,bingda01
15,John Block,PF,28,TOT,73,,2041,391,886,.441,,,,391,886,.441,.441,300,378,.794,,,562,113,,,,242,1082,blockjo01
15,John Block,PF,28,PHI,48,,1558,311,706,.441,,,,311,706,.441,.441,236,302,.781,,,442,94,,,,173,858,blockjo01
15,John Block,PF,28,KCO,25,,483,80,180,.444,,,,80,180,.444,.444,64,76,.842,,,120,19,,,,69,224,blockjo01
16,Tom Boerwinkle,C,27,CHI,8,,176,9,24,.375,,,,9,24,.375,.375,12,20,.600,,,54,40,,,,22,30,boerwto01
17,Freddie Boyd,PG,22,PHI,82,,2351,362,923,.392,,,,362,923,.392,.392,136,200,.680,,,210,301,,,,184,860,boydfr01
18,Steve Bracey,PG,22,ATL,70,,1050,192,395,.486,,,,192,395,.486,.486,73,110,.664,,,107,125,,,,125,457,bracest01
19,Bill Bradley*,SF,29,NYK,82,,2998,575,1252,.459,,,,575,1252,.459,.459,169,194,.871,,,301,367,,,,273,1319,bradlbi01
20,Bill Bridges,PF,33,TOT,82,,2867,333,722,.461,,,,333,722,.461,.461,179,255,.702,,,904,219,,,,296,845,bridgbi01
20,Bill Bridges,PF,33,PHI,10,,376,47,125,.376,,,,47,125,.376,.376,46,65,.708,,,122,23,,,,35,140,bridgbi01
20,Bill Bridges,PF,33,LAL,72,,2491,286,597,.479,,,,286,597,.479,.479,133,190,.700,,,782,196,,,,261,705,bridgbi01
21,John Brisker,SF,25,SEA,70,,1633,352,809,.435,,,,352,809,.435,.435,194,236,.822,,,319,150,,,,169,898,briskjo01
22,Fred Brown,SG,24,SEA,79,,2320,471,1035,.455,,,,471,1035,.455,.455,121,148,.818,,,318,438,,,,226,1063,brownfr01
23,Roger Brown,C,22,LAL,1,,5,0,0,,,,,0,0,,,1,3,.333,,,0,0,,,,1,1,brownro02
24,Corky Calhoun,SF,22,PHO,82,,2025,211,450,.469,,,,211,450,.469,.469,71,96,.740,,,338,76,,,,214,493,calhoco01
25,Austin Carr,SG,24,CLE,82,,3097,702,1575,.446,,,,702,1575,.446,.446,281,342,.822,,,369,279,,,,185,1685,carrau01
26,Fred Carter,SG,27,PHI,81,,2993,679,1614,.421,,,,679,1614,.421,.421,259,368,.704,,,485,349,,,,252,1617,cartefr01
27,Wilt Chamberlain*,C,36,LAL,82,,3542,426,586,.727,,,,426,586,.727,.727,232,455,.510,,,1526,365,,,,191,1084,chambwi01
28,Don Chaney,SG,26,BOS,79,,2488,414,859,.482,,,,414,859,.482,.482,210,267,.787,,,449,221,,,,276,1038,chanedo01
29,Phil Chenier,SG,22,BAL,71,,2776,602,1332,.452,,,,602,1332,.452,.452,194,244,.795,,,288,301,,,,160,1398,cheniph01
30,Bob Christian,C,26,ATL,55,,759,85,155,.548,,,,85,155,.548,.548,60,79,.759,,,305,47,,,,111,230,chrisbo01
31,Archie Clark,PG,31,BAL,39,,1477,302,596,.507,,,,302,596,.507,.507,111,137,.810,,,129,275,,,,111,715,clarkar01
32,Jim Cleamons,PG,23,CLE,80,,1392,192,423,.454,,,,192,423,.454,.454,75,101,.743,,,167,205,,,,108,459,cleamji01
33,Barry Clemens,SF,29,CLE,72,,1119,209,405,.516,,,,209,405,.516,.516,53,68,.779,,,211,115,,,,136,471,clemeba01
34,Mel Counts,C,31,TOT,66,,658,132,294,.449,,,,132,294,.449,.449,39,58,.672,,,253,65,,,,106,303,countme01
34,Mel Counts,C,31,PHI,7,,47,5,16,.313,,,,5,16,.313,.313,0,0,,,,16,3,,,,8,10,countme01
34,Mel Counts,C,31,LAL,59,,611,127,278,.457,,,,127,278,.457,.457,39,58,.672,,,237,62,,,,98,293,countme01
35,Dave Cowens*,C,24,BOS,82,,3425,740,1637,.452,,,,740,1637,.452,.452,204,262,.779,,,1329,333,,,,311,1684,cowenda01
36,Pete Cross,C,24,TOT,29,,157,6,25,.240,,,,6,25,.240,.240,8,18,.444,,,61,11,,,,29,20,crosspe01
36,Pete Cross,C,24,KCO,3,,24,0,4,.000,,,,0,4,.000,.000,0,0,,,,4,0,,,,5,0,crosspe01
36,Pete Cross,C,24,SEA,26,,133,6,21,.286,,,,6,21,.286,.286,8,18,.444,,,57,11,,,,24,20,crosspe01
37,Dick Cunningham,C,26,MIL,72,,692,64,156,.410,,,,64,156,.410,.410,29,50,.580,,,208,34,,,,94,157,cunnidi01
38,Bob Dandridge*,SF,25,MIL,73,,2852,638,1353,.472,,,,638,1353,.472,.472,198,251,.789,,,600,207,,,,279,1474,dandrbo01
39,Bob Davis,SF,22,POR,9,,41,6,28,.214,,,,6,28,.214,.214,4,6,.667,,,5,2,,,,5,16,davisbo01
40,Charlie Davis,SG,23,TOT,75,,1419,263,631,.417,,,,263,631,.417,.417,130,168,.774,,,116,185,,,,194,656,davisch01
40,Charlie Davis,SG,23,CLE,6,,86,20,41,.488,,,,20,41,.488,.488,4,7,.571,,,5,10,,,,20,44,davisch01
40,Charlie Davis,SG,23,POR,69,,1333,243,590,.412,,,,243,590,.412,.412,126,161,.783,,,111,175,,,,174,612,davisch01
41,Dwight Davis,PF,23,CLE,81,,2151,293,748,.392,,,,293,748,.392,.392,176,222,.793,,,563,118,,,,297,762,davisdw01
42,Jim Davis,C,31,DET,73,,771,131,257,.510,,,,131,257,.510,.510,72,114,.632,,,261,56,,,,126,334,davisji01
43,Mickey Davis,SF,22,MIL,74,,1046,152,347,.438,,,,152,347,.438,.438,76,92,.826,,,226,72,,,,119,380,davismi02
44,Mike Davis,SG,26,BAL,13,,283,50,118,.424,,,,50,118,.424,.424,23,25,.920,,,35,19,,,,45,123,davismi01
45,Dave DeBusschere*,PF,32,NYK,77,,2827,532,1224,.435,,,,532,1224,.435,.435,194,260,.746,,,787,259,,,,215,1258,debusda01
46,Terry Dischinger,SF,32,POR,63,,970,161,338,.476,,,,161,338,.476,.476,64,96,.667,,,190,103,,,,125,386,dischte01
47,Terry Driscoll,C-PF,25,TOT,60,,964,140,327,.428,,,,140,327,.428,.428,43,62,.694,,,300,55,,,,144,323,driscte01
47,Terry Driscoll,PF,25,BAL,1,,5,0,1,.000,,,,0,1,.000,.000,0,0,,,,3,0,,,,1,0,driscte01
47,Terry Driscoll,C,25,MIL,59,,959,140,326,.429,,,,140,326,.429,.429,43,62,.694,,,297,55,,,,143,323,driscte01
48,Charles Dudley,PG,22,SEA,12,,99,10,23,.435,,,,10,23,.435,.435,14,16,.875,,,6,16,,,,15,34,dudlech01
49,Ken Durrett,SF,24,KCO,8,,65,8,21,.381,,,,8,21,.381,.381,6,8,.750,,,14,3,,,,16,22,durreke01
50,Joe Ellis,PF,28,GSW,74,,1054,199,487,.409,,,,199,487,.409,.409,69,93,.742,,,282,88,,,,143,467,ellisjo01
51,Leroy Ellis,PF-C,32,TOT,79,,2600,421,969,.434,,,,421,969,.434,.434,129,161,.801,,,777,139,,,,199,971,ellisle01
51,Leroy Ellis,C,32,LAL,10,,156,11,40,.275,,,,11,40,.275,.275,4,5,.800,,,33,3,,,,13,26,ellisle01
51,Leroy Ellis,PF,32,PHI,69,,2444,410,929,.441,,,,410,929,.441,.441,125,156,.801,,,744,136,,,,186,945,ellisle01
52,Scott English,SF,22,PHO,29,,196,36,93,.387,,,,36,93,.387,.387,21,29,.724,,,44,15,,,,38,93,englisc01
53,Keith Erickson,SF,28,LAL,76,,1920,299,696,.430,,,,299,696,.430,.430,89,110,.809,,,337,242,,,,190,687,erickke01
54,Hank Finkel,C,30,BOS,76,,496,78,173,.451,,,,78,173,.451,.451,28,52,.538,,,151,26,,,,83,184,finkeha01
55,Chris Ford,SG,24,DET,74,,1537,208,434,.479,,,,208,434,.479,.479,60,93,.645,,,266,194,,,,133,476,fordch01
56,Fred Foster,SF,26,DET,63,,1460,243,627,.388,,,,243,627,.388,.388,61,87,.701,,,183,94,,,,150,547,fostefr01
57,Harold Fox,PG,23,BUF,10,,84,12,32,.375,,,,12,32,.375,.375,7,8,.875,,,8,10,,,,7,31,foxha01
58,Jim Fox,C,29,SEA,74,,2439,316,613,.515,,,,316,613,.515,.515,214,265,.808,,,827,176,,,,239,846,foxji01
59,Walt Frazier*,PG,27,NYK,78,,3181,681,1389,.490,,,,681,1389,.490,.490,286,350,.817,,,570,461,,,,186,1648,fraziwa01
60,Dick Garrett,SG,26,BUF,78,,1805,341,813,.419,,,,341,813,.419,.419,96,110,.873,,,209,217,,,,217,778,garredi01
61,Rowland Garrett,SF,22,CHI,35,,211,52,118,.441,,,,52,118,.441,.441,21,31,.677,,,61,8,,,,29,125,garrero01
62,John Gianelli,C,22,NYK,52,,516,79,175,.451,,,,79,175,.451,.451,23,33,.697,,,150,25,,,,72,181,gianejo01
63,Dick Gibbs,SF,24,TOT,67,,735,80,222,.360,,,,80,222,.360,.360,47,63,.746,,,94,62,,,,114,207,gibbsdi01
63,Dick Gibbs,SF,24,HOU,1,,2,0,1,.000,,,,0,1,.000,.000,0,0,,,,0,1,,,,1,0,gibbsdi01
63,Dick Gibbs,SF,24,KCO,66,,733,80,221,.362,,,,80,221,.362,.362,47,63,.746,,,94,61,,,,113,207,gibbsdi01
64,Herm Gilliam,PG,26,ATL,76,,2741,471,1007,.468,,,,471,1007,.468,.468,123,150,.820,,,399,482,,,,257,1065,gillihe01
65,Gail Goodrich*,SG,29,LAL,76,,2697,750,1615,.464,,,,750,1615,.464,.464,314,374,.840,,,263,332,,,,193,1814,goodrga01
66,Travis Grant,SF,23,LAL,33,,153,51,116,.440,,,,51,116,.440,.440,23,26,.885,,,52,7,,,,19,125,granttr01
67,Johnny Green,PF,39,KCO,66,,1245,190,317,.599,,,,190,317,.599,.599,89,131,.679,,,361,59,,,,185,469,greenjo01
68,Lamar Green,PF,25,PHO,80,,2048,224,520,.431,,,,224,520,.431,.431,89,118,.754,,,746,89,,,,263,537,greenla01
69,Luther Green,PF,26,PHI,5,,32,0,11,.000,,,,0,11,.000,.000,3,9,.333,,,3,0,,,,3,3,greenlu01
70,Hal Greer*,PG,36,PHI,38,,848,91,232,.392,,,,91,232,.392,.392,32,39,.821,,,106,111,,,,76,214,greerha01
71,Gary Gregor,SF,27,MIL,9,,88,11,33,.333,,,,11,33,.333,.333,5,7,.714,,,32,9,,,,9,27,gregoga01
72,Matt Guokas,SG,28,KCO,79,,2846,322,565,.570,,,,322,565,.570,.570,74,90,.822,,,245,403,,,,190,718,guokama02
73,Happy Hairston,PF,30,LAL,28,,939,158,328,.482,,,,158,328,.482,.482,140,178,.787,,,370,68,,,,77,456,hairsha01
74,Jeff Halliburton,SG,23,TOT,55,,787,172,396,.434,,,,172,396,.434,.434,71,88,.807,,,108,96,,,,107,415,hallije01
74,Jeff Halliburton,SG,23,ATL,24,,238,50,116,.431,,,,50,116,.431,.431,21,22,.955,,,26,28,,,,29,121,hallije01
74,Jeff Halliburton,SG,23,PHI,31,,549,122,280,.436,,,,122,280,.436,.436,50,66,.758,,,82,68,,,,78,294,hallije01
75,Clem Haskins,SG,29,PHO,77,,1581,339,731,.464,,,,339,731,.464,.464,130,156,.833,,,173,203,,,,143,808,haskicl01
76,John Havlicek*,SF,32,BOS,80,,3367,766,1704,.450,,,,766,1704,.450,.450,370,431,.858,,,567,529,,,,195,1902,havlijo01
77,Connie Hawkins*,SF,30,PHO,75,,2768,441,920,.479,,,,441,920,.479,.479,322,404,.797,,,641,304,,,,229,1204,hawkico01
78,Elvin Hayes*,PF,27,BAL,81,,3347,713,1607,.444,,,,713,1607,.444,.444,291,434,.671,,,1177,127,,,,232,1717,hayesel01
79,Spencer Haywood*,PF,23,SEA,77,,3259,889,1868,.476,,,,889,1868,.476,.476,473,564,.839,,,995,196,,,,213,2251,haywosp01
80,Walt Hazzard,PG,30,TOT,55,,763,107,256,.418,,,,107,256,.418,.418,47,57,.825,,,88,129,,,,110,261,abdulma01
80,Walt Hazzard,PG,30,BUF,9,,134,25,60,.417,,,,25,60,.417,.417,3,6,.500,,,10,17,,,,19,53,abdulma01
80,Walt Hazzard,PG,30,GSW,46,,629,82,196,.418,,,,82,196,.418,.418,44,51,.863,,,78,112,,,,91,208,abdulma01
81,Gar Heard,PF,24,TOT,81,,1552,350,824,.425,,,,350,824,.425,.425,116,178,.652,,,453,60,,,,171,816,heardga01
81,Gar Heard,PF,24,SEA,3,,17,4,9,.444,,,,4,9,.444,.444,1,1,1.000,,,6,2,,,,4,9,heardga01
81,Gar Heard,PF,24,CHI,78,,1535,346,815,.425,,,,346,815,.425,.425,115,177,.650,,,447,58,,,,167,807,heardga01
82,Bill Hewitt,PF,28,BUF,73,,1332,152,364,.418,,,,152,364,.418,.418,41,74,.554,,,368,110,,,,154,345,hewitbi01
83,Fred Hilton,SG,25,BUF,59,,731,191,494,.387,,,,191,494,.387,.387,41,53,.774,,,98,74,,,,100,423,hiltofr01
84,Lou Hudson*,SF,28,ATL,75,,3027,816,1710,.477,,,,816,1710,.477,.477,397,481,.825,,,467,258,,,,197,2029,hudsolo01
85,John Hummer,PF,24,BUF,66,,1546,206,464,.444,,,,206,464,.444,.444,115,205,.561,,,323,138,,,,185,527,hummejo01
86,Phil Jackson*,PF,27,NYK,80,,1393,245,553,.443,,,,245,553,.443,.443,154,195,.790,,,344,94,,,,218,644,jacksph01
87,Charles Johnson,SG,23,GSW,70,,887,171,400,.428,,,,171,400,.428,.428,33,46,.717,,,132,118,,,,105,375,johnsch01
88,George Johnson,C,25,HOU,19,,169,20,39,.513,,,,20,39,.513,.513,3,4,.750,,,45,3,,,,33,43,johnsge01
89,George Johnson,C,24,GSW,56,,349,41,100,.410,,,,41,100,.410,.410,7,17,.412,,,138,8,,,,40,89,johnsge02
90,Gus Johnson*,PF,34,PHO,21,,417,69,181,.381,,,,69,181,.381,.381,25,36,.694,,,136,31,,,,55,163,johnsgu01
91,John Johnson,SF,25,CLE,82,,2815,492,1143,.430,,,,492,1143,.430,.430,199,271,.734,,,552,309,,,,246,1183,johnsjo01
92,Ollie Johnson,SF,23,POR,78,,2138,308,620,.497,,,,308,620,.497,.497,156,206,.757,,,417,200,,,,166,772,johnsol01
93,Wali Jones,SG,30,MIL,27,,419,59,145,.407,,,,59,145,.407,.407,16,18,.889,,,29,56,,,,39,134,joneswa02
94,Bob Kauffman,SF,26,BUF,77,,3049,535,1059,.505,,,,535,1059,.505,.505,280,359,.780,,,855,396,,,,211,1350,kauffbo01
95,Toby Kimball,PF,30,KCO,67,,643,96,220,.436,,,,96,220,.436,.436,44,67,.657,,,191,27,,,,86,236,kimbato01
96,Jim King,SG,31,CHI,65,,785,116,263,.441,,,,116,263,.441,.441,44,52,.846,,,76,81,,,,76,276,kingji01
97,Don Kojis,SF,34,KCO,77,,1240,276,575,.480,,,,276,575,.480,.480,106,137,.774,,,198,80,,,,128,658,kojisdo01
98,Howard Komives,PG,31,BUF,67,,1468,163,429,.380,,,,163,429,.380,.380,85,98,.867,,,118,239,,,,155,411,komivho01
99,Steve Kuberski,SF,25,BOS,78,,762,140,347,.403,,,,140,347,.403,.403,65,84,.774,,,197,26,,,,92,345,kuberst01
100,Sam Lacey,C,24,KCO,79,,2930,471,994,.474,,,,471,994,.474,.474,126,178,.708,,,933,189,,,,283,1068,laceysa01
101,Bob Lanier*,C,24,DET,81,,3150,810,1654,.490,,,,810,1654,.490,.490,307,397,.773,,,1205,260,,,,278,1927,laniebo01
102,Stu Lantz,SG,26,DET,51,,1603,185,455,.407,,,,185,455,.407,.407,120,150,.800,,,172,138,,,,117,490,lantzst01
103,Mo Layton,SG,24,PHO,65,,990,187,434,.431,,,,187,434,.431,.431,90,119,.756,,,77,139,,,,127,464,laytomo01
104,Manny Leaks,C,27,PHI,82,,2530,377,933,.404,,,,377,933,.404,.404,144,200,.720,,,677,95,,,,191,898,leaksma01
105,Clyde Lee,PF,28,GSW,66,,1476,170,365,.466,,,,170,365,.466,.466,74,131,.565,,,598,34,,,,183,414,leecl01
106,Russ Lee,SF,23,MIL,46,,277,49,127,.386,,,,49,127,.386,.386,32,43,.744,,,43,38,,,,36,130,leeru01
107,Kevin Loughery,SG,32,PHI,32,,955,169,427,.396,,,,169,427,.396,.396,107,130,.823,,,113,148,,,,104,445,loughke01
108,Bob Love,PF,30,CHI,82,,3033,774,1794,.431,,,,774,1794,.431,.431,347,421,.824,,,532,119,,,,240,1895,lovebo01
109,Stan Love,PF,23,BAL,72,,995,190,436,.436,,,,190,436,.436,.436,79,100,.790,,,300,46,,,,175,459,lovest01
110,Jerry Lucas*,PF,32,NYK,71,,2001,312,608,.513,,,,312,608,.513,.513,80,100,.800,,,510,317,,,,157,704,lucasje01
111,Pete Maravich*,SG,25,ATL,79,,3089,789,1788,.441,,,,789,1788,.441,.441,485,606,.800,,,346,546,,,,245,2063,maravpe01
112,Jack Marin,SF,28,HOU,81,,3019,624,1334,.468,,,,624,1334,.468,.468,248,292,.849,,,499,291,,,,247,1496,marinja01
113,Harvey Marlatt,SG,24,DET,7,,26,2,4,.500,,,,2,4,.500,.500,0,0,,,,1,4,,,,1,4,marlaha01
114,LaRue Martin,C,22,POR,77,,996,145,366,.396,,,,145,366,.396,.396,50,77,.649,,,358,42,,,,162,340,martila01
115,Eddie Mast,PF,24,ATL,42,,447,50,118,.424,,,,50,118,.424,.424,19,30,.633,,,136,37,,,,50,119,masted01
116,Don May,SF,27,TOT,58,,919,189,424,.446,,,,189,424,.446,.446,75,93,.806,,,210,64,,,,135,453,maydo01
116,Don May,SF,27,ATL,32,,317,61,134,.455,,,,61,134,.455,.455,22,31,.710,,,67,21,,,,55,144,maydo01
116,Don May,SF,27,PHI,26,,602,128,290,.441,,,,128,290,.441,.441,53,62,.855,,,143,43,,,,80,309,maydo01
117,Bob McAdoo*,PF,21,BUF,80,,2562,585,1293,.452,,,,585,1293,.452,.452,271,350,.774,,,728,139,,,,256,1441,mcadobo01
118,Paul McCracken,SG,22,HOU,24,,305,44,89,.494,,,,44,89,.494,.494,23,39,.590,,,51,17,,,,32,111,mccrapa01
119,Jim McDaniels,C,24,SEA,68,,1095,154,386,.399,,,,154,386,.399,.399,70,100,.700,,,345,78,,,,140,378,mcdanji01
120,Jon McGlocklin,SG,29,MIL,80,,1951,351,699,.502,,,,351,699,.502,.502,63,73,.863,,,158,236,,,,119,765,mcglojo01
