Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
121,Kenny McIntosh,SF,24,TOT,59,,1138,115,341,.337,,,,115,341,.337,.337,40,67,.597,,,231,54,,,,102,270,mcintke01
121,Kenny McIntosh,SF,24,CHI,3,,33,8,13,.615,,,,8,13,.615,.615,0,2,.000,,,9,1,,,,4,16,mcintke01
121,Kenny McIntosh,SF,24,SEA,56,,1105,107,328,.326,,,,107,328,.326,.326,40,65,.615,,,222,53,,,,98,254,mcintke01
122,Stan McKenzie,SF-SG,28,TOT,33,,294,48,119,.403,,,,48,119,.403,.403,30,37,.811,,,55,23,,,,43,126,mckenst01
122,Stan McKenzie,SG,28,POR,7,,107,13,36,.361,,,,13,36,.361,.361,14,16,.875,,,21,8,,,,15,40,mckenst01
122,Stan McKenzie,SF,28,HOU,26,,187,35,83,.422,,,,35,83,.422,.422,16,21,.762,,,34,15,,,,28,86,mckenst01
123,Jim McMillian,SF,24,LAL,81,,2953,655,1431,.458,,,,655,1431,.458,.458,223,264,.845,,,447,221,,,,176,1533,mcmilji01
124,Eric McWilliams,PF,22,HOU,44,,245,34,98,.347,,,,34,98,.347,.347,18,37,.486,,,60,5,,,,46,86,mcwiler01
125,Cliff Meely,PF,25,HOU,82,,1694,268,657,.408,,,,268,657,.408,.408,92,137,.672,,,496,91,,,,263,628,meelycl01
126,Dean Meminger,SG,24,NYK,80,,1453,188,365,.515,,,,188,365,.515,.515,81,129,.628,,,229,133,,,,109,457,meminde01
127,John Mengelt,SG,23,TOT,79,,1647,320,651,.492,,,,320,651,.492,.492,127,160,.794,,,181,153,,,,148,767,mengejo01
127,John Mengelt,SG,23,KCO,12,,212,26,68,.382,,,,26,68,.382,.382,11,19,.579,,,22,25,,,,24,63,mengejo01
127,John Mengelt,SG,23,DET,67,,1435,294,583,.504,,,,294,583,.504,.504,116,141,.823,,,159,128,,,,124,704,mengejo01
128,Mark Minor,SF,22,BOS,4,,20,1,4,.250,,,,1,4,.250,.250,3,4,.750,,,4,2,,,,5,5,minorma01
129,Earl Monroe*,SG,28,NYK,75,,2370,496,1016,.488,,,,496,1016,.488,.488,171,208,.822,,,245,288,,,,195,1163,monroea01
130,Otto Moore,C,26,HOU,82,,2712,418,859,.487,,,,418,859,.487,.487,127,211,.602,,,868,167,,,,239,963,mooreot01
131,Erwin Mueller,PF,28,DET,21,,80,9,31,.290,,,,9,31,.290,.290,5,7,.714,,,14,7,,,,13,23,mueller01
132,Jeff Mullins,SG,30,GSW,81,,3005,651,1321,.493,,,,651,1321,.493,.493,143,172,.831,,,363,337,,,,201,1445,mullije01
133,Calvin Murphy*,PG,24,HOU,77,,1697,381,820,.465,,,,381,820,.465,.465,239,269,.888,,,149,262,,,,211,1001,murphca01
134,Bob Nash,SF,22,DET,36,,169,16,72,.222,,,,16,72,.222,.222,11,17,.647,,,34,16,,,,30,43,nashbo01
135,Lloyd Neal,C,22,POR,82,,2723,455,921,.494,,,,455,921,.494,.494,187,293,.638,,,967,146,,,,305,1097,nealll01
136,Don Nelson*,SF,32,BOS,72,,1425,309,649,.476,,,,309,649,.476,.476,159,188,.846,,,315,102,,,,155,777,nelsodo01
137,Mike Newlin,SG,24,HOU,82,,2658,534,1206,.443,,,,534,1206,.443,.443,327,369,.886,,,340,409,,,,301,1395,newlimi01
138,Willie Norwood,SF,25,DET,79,,1282,249,504,.494,,,,249,504,.494,.494,154,225,.684,,,324,56,,,,182,652,norwowi01
139,Steve Patterson,C,24,CLE,62,,710,71,198,.359,,,,71,198,.359,.359,34,65,.523,,,228,51,,,,79,176,pattest01
140,Tom Patterson,PF,24,BAL,23,,92,21,49,.429,,,,21,49,.429,.429,13,16,.813,,,22,3,,,,18,55,patteto01
141,Curtis Perry,PF,24,MIL,67,,2094,265,575,.461,,,,265,575,.461,.461,83,126,.659,,,644,123,,,,246,613,perrycu01
142,Geoff Petrie,SG,24,POR,79,,3134,836,1801,.464,,,,836,1801,.464,.464,298,383,.778,,,273,350,,,,163,1970,petrige01
143,Howard Porter,PF,24,CHI,43,,407,98,217,.452,,,,98,217,.452,.452,22,29,.759,,,118,16,,,,52,218,porteho01
144,Kevin Porter,PG,22,BAL,71,,1217,205,451,.455,,,,205,451,.455,.455,62,101,.614,,,72,237,,,,206,472,porteke01
145,Bob Portman,SF,25,GSW,32,,176,32,70,.457,,,,32,70,.457,.457,20,26,.769,,,51,7,,,,16,84,portmbo01
146,Jim Price,PG,23,LAL,59,,828,158,359,.440,,,,158,359,.440,.440,60,73,.822,,,115,97,,,,119,376,priceji01
147,Mike Price,SG,24,PHI,57,,751,125,301,.415,,,,125,301,.415,.415,38,47,.809,,,117,71,,,,106,288,pricemi01
148,Luther Rackley,C,26,NYK,1,,2,0,0,,,,,0,0,,,0,0,,,,1,0,,,,2,0,rackllu01
149,Mike Ratliff,C,21,KCO,58,,681,98,235,.417,,,,98,235,.417,.417,45,84,.536,,,194,38,,,,111,241,ratlimi01
150,Clifford Ray,C,24,CHI,73,,2009,254,516,.492,,,,254,516,.492,.492,117,189,.619,,,797,271,,,,232,625,raycl01
151,Willis Reed*,C,30,NYK,69,,1876,334,705,.474,,,,334,705,.474,.474,92,124,.742,,,590,126,,,,205,760,reedwi01
152,Tom Riker,C,22,NYK,14,,65,10,24,.417,,,,10,24,.417,.417,15,24,.625,,,16,2,,,,15,35,rikerto01
153,Pat Riley*,SG,27,LAL,55,,801,167,390,.428,,,,167,390,.428,.428,65,82,.793,,,65,81,,,,126,399,rileypa01
154,Ron Riley,PF,22,KCO,74,,1634,273,634,.431,,,,273,634,.431,.431,79,116,.681,,,507,76,,,,226,625,rileyro01
155,Rich Rinaldi,SG,23,BAL,33,,646,116,284,.408,,,,116,284,.408,.408,48,64,.750,,,68,48,,,,40,280,rinalri01
156,Mike Riordan,SF,27,BAL,82,,3466,652,1278,.510,,,,652,1278,.510,.510,179,218,.821,,,404,426,,,,216,1483,riordmi01
157,Rick Roberson,C,25,CLE,62,,2127,307,709,.433,,,,307,709,.433,.433,167,290,.576,,,693,134,,,,249,781,roberri01
158,Oscar Robertson*,PG,34,MIL,73,,2737,446,983,.454,,,,446,983,.454,.454,238,281,.847,,,360,551,,,,167,1130,roberos01
159,Flynn Robinson,SG,31,TOT,44,,630,133,288,.462,,,,133,288,.462,.462,32,39,.821,,,62,85,,,,71,298,robinfl01
159,Flynn Robinson,SG,31,LAL,6,,47,14,28,.500,,,,14,28,.500,.500,6,8,.750,,,7,8,,,,11,34,robinfl01
159,Flynn Robinson,SG,31,BAL,38,,583,119,260,.458,,,,119,260,.458,.458,26,31,.839,,,55,77,,,,60,264,robinfl01
