Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Zaid Abdul-Aziz,C,24,SEA,61,,1276,263,597,.441,,,,263,597,.441,.441,139,188,.739,,,468,42,,,,118,665,abdulza01
2,Kareem Abdul-Jabbar*,C,23,MIL,82,,3288,1063,1843,.577,,,,1063,1843,.577,.577,470,681,.690,,,1311,272,,,,264,2596,abdulka01
3,Don Adams,SF,23,SDR,82,,2374,391,957,.409,,,,391,957,.409,.409,155,212,.731,,,581,173,,,,344,937,adamsdo01
4,Rick Adelman*,PG,24,POR,81,,2303,378,895,.422,,,,378,895,.422,.422,267,369,.724,,,282,380,,,,214,1023,adelmri01
5,Lucius Allen,PG,23,MIL,61,,1162,178,398,.447,,,,178,398,.447,.447,77,110,.700,,,152,161,,,,108,433,allenlu01
6,Cliff Anderson,SG,26,TOT,28,,198,20,65,.308,,,,20,65,.308,.308,46,67,.687,,,48,20,,,,29,86,andercl01
6,Cliff Anderson,SG,26,CLE,23,,171,19,59,.322,,,,19,59,.322,.322,41,60,.683,,,37,16,,,,22,79,andercl01
6,Cliff Anderson,SG,26,PHI,5,,27,1,6,.167,,,,1,6,.167,.167,5,7,.714,,,11,4,,,,7,7,andercl01
7,Tiny Archibald*,PG,22,CIN,82,,2867,486,1095,.444,,,,486,1095,.444,.444,336,444,.757,,,242,450,,,,218,1308,architi01
8,Bob Arnzen,SF,23,CIN,55,,594,128,277,.462,,,,128,277,.462,.462,45,52,.865,,,152,24,,,,54,301,arnzebo01
9,Al Attles*,PG,34,SFW,34,,321,22,54,.407,,,,22,54,.407,.407,24,41,.585,,,40,58,,,,59,68,attleal01
10,Dennis Awtrey,C,22,PHI,70,,1292,200,421,.475,,,,200,421,.475,.475,104,157,.662,,,430,89,,,,211,504,awtrede01
11,Jim Barnes,PF,29,BAL,11,,100,15,28,.536,,,,15,28,.536,.536,7,11,.636,,,16,8,,,,23,37,barneji01
12,Dick Barnett,SG,34,NYK,82,,2843,540,1184,.456,,,,540,1184,.456,.456,193,278,.694,,,238,225,,,,232,1273,barnedi01
13,Jim Barnett,SG,26,POR,78,,2371,559,1283,.436,,,,559,1283,.436,.436,326,402,.811,,,376,323,,,,190,1444,barneji02
14,Moe Barr,G,26,CIN,31,,145,25,62,.403,,,,25,62,.403,.403,11,13,.846,,,20,28,,,,27,61,barrmo01
15,Johnny Baum,SF,24,CHI,62,,543,123,293,.420,,,,123,293,.420,.420,40,58,.690,,,125,31,,,,55,286,baumjo01
16,Elgin Baylor*,SF,36,LAL,2,,57,8,19,.421,,,,8,19,.421,.421,4,6,.667,,,11,2,,,,6,20,bayloel01
